Player,Team,Position,Nationality,Foot,Height_cm,Age,Contract_years,Cost_eur,MarketValue_eur,Venta,Google_Trend,Media,Mediana,Máximo,Mínimo,Varianza,Twitter,Instagram,Minutos_jugados,Duelos_aéreos_ganados_ptg,Entradas_logradas_ptg,Tiros_interceptados_90,Interceptaciones_90,Faltas_90,Tarjetas_amarillas_90,Tarjetas_rojas_90,Goles_90,Remates_90,Tiros_portería_ptg,Asistencias_90,Centros_90,Regates_90,PassAccuracy_pct,ShortMedPassAccuracy_pct,LongPassAccuracy_pct,KeyPasses_per90,FinalThirdPasses_per90,PenaltyAreaPasses_per90,ThroughPasses_per90,ProgressivePasses_per90,FreeKicks_per90,Corners_per90,Player_key,League,Nacionalidad,Continent,PC1,Mean,Variance,Min,Max,Median,Player_pi,Sold_flag
Wess Morgan,Leicester City,3,England,1,186,35,1,2000000,2000000,0,0.01098901098901099,0.06183922945442141,0.04356060606060606,0.2857142857142857,0.0001612903225806452,0.06495233060311432,108140.0,40391.0,2050,62.41,100.0,0.35,4.87,0.83,0.13,0.09,0.13,0.44,50.0,0.0,0.0,0.31,85.55,89.16,48.78,0.0,3.47,0.18,0.09,6.1,0.0,0.0,Wess Morgan,Premier,England,Europe,-0.8181690039687048,0.015348148148148147,7.713990216631726e-05,0.0056,0.0448,0.0112,Wess Morgan,
Weston McKennie,Schalke 04,3,USA,1,185,20,5,20000000,20000000,0,0.02197802197802198,0.09436587855529163,0.06904761904761905,0.6363636363636364,0.000967741935483871,0.1084937066623994,15541.0,,1843,55.36,25.0,0.2,5.62,1.61,0.29,0.0,0.05,1.03,33.33,0.2,0.73,2.44,76.45,80.34,46.94,0.24,4.0,1.71,0.73,5.23,0.0,0.0,Weston McKennie,Bundesliga,USA,North America,-0.7574510824307518,0.024992592592592597,0.0003676965478686233,0.0056,0.1232,0.0224,Weston McKennie,
Wilfred Ndidi,Leicester City,2,Nigeria,1,183,22,5,35000000,35000000,0,0.02777777777777778,0.05492884991082567,0.04118104118104118,0.3125,0.00380952380952381,0.05447152790702577,75897.0,450543.0,3519,53.82,46.15,0.2,5.35,1.1,0.2,0.0,0.05,1.3,17.65,0.0,0.41,1.76,83.21,86.71,49.34,0.1,7.29,1.07,0.49,7.14,0.0,0.0,Wilfred Ndidi,Premier,Nigeria,Africa,-0.6361085026365294,0.036,0.0006884999999999998,0.009,0.13949999999999999,0.026999999999999996,Wilfred Ndidi,
Wilfrid Kaptoum,Real Betis,2,Cameroon,1,174,22,1,4000000,4000000,0,0.003968253968253968,0.01167295139813941,0.005917366946778711,0.1428571428571429,0.0,0.022062790745662,8073.0,,811,57.14,20.0,0.11,2.77,1.66,0.22,0.0,0.0,0.33,33.33,0.0,0.33,3.44,89.03,91.21,33.33,0.11,5.1,0.89,0.55,3.33,0.0,0.0,Wilfrid Kaptoum,LaLiga,Cameroon,Africa,-0.872191560901281,0.005541666666666666,4.7704599056603764e-05,0.0,0.040499999999999994,0.0045,Wilfrid Kaptoum,
Wilfried Zaha,Crystal Palace,1,Côte d'Ivoire,1,180,26,4,45000000,45000000,0,0.01398601398601399,0.03225238661021827,0.03001200480192077,0.1111111111111111,0.001538461538461538,0.02577213498028657,850778.0,678414.0,3231,11.9,0.0,0.0,1.34,1.23,0.25,0.03,0.28,1.89,39.71,0.14,2.56,12.92,78.75,83.46,59.38,0.81,2.73,3.34,0.75,4.48,0.0,0.06,Wilfried Zaha,Premier,Côte d'Ivoire,Africa,0.04476797129815124,0.1748148148148148,0.007806568832983928,0.04,0.44,0.16,Wilfried Zaha,
Will Hughes,Watford,2,England,0,185,24,3,18000000,18000000,0,0.0119047619047619,0.02092057320089974,0.01333866880085367,0.1111111111111111,0.0,0.02261608073955869,44597.0,0.0,2533,31.43,36.36,0.14,4.62,1.92,0.18,0.0,0.07,1.1,25.81,0.14,1.07,3.16,79.65,82.67,58.33,0.36,4.69,2.24,1.14,5.93,0.04,0.11,Will Hughes,Premier,England,Europe,-0.8327015180869634,0.011791666666666666,6.742393867924525e-05,0.0,0.040499999999999994,0.009,Will Hughes,
Willi Orban,RB Leipzig,3,Germany,1,186,26,3,20000000,20000000,0,0.01098901098901099,0.05868240190379351,0.04006410256410256,0.2777777777777778,0.0,0.06169198585752535,0.0,37594.0,2136,59.43,23.53,0.34,6.4,1.05,0.25,0.0,0.17,0.93,40.91,0.0,0.0,0.25,84.04,88.09,57.14,0.0,6.19,0.21,0.13,9.61,0.0,0.0,Willi Orban,Bundesliga,Germany,Europe,-0.8204300189858729,0.015451851851851854,0.0002046508455625437,0.0,0.0672,0.0112,Willi Orban,
William Carvalho,Real Betis,2,Angola,1,187,27,4,25000000,25000000,0,0.06190476190476191,0.07134198120313225,0.05097316704459562,0.3333333333333334,0.009090909090909092,0.06140649055232115,32252.0,,2526,67.21,25.0,0.0,1.89,0.82,0.25,0.0,0.0,0.29,25.0,0.14,0.18,2.35,91.53,92.96,73.08,0.29,9.51,1.92,1.25,8.73,0.04,0.0,William Carvalho,LaLiga,Angola,Africa,-0.24418079738431653,0.057416666666666664,0.007717874999999997,0.0045,0.44999999999999996,0.024749999999999998,William Carvalho,
William de Asevedo Furtado,Wolfsburg,3,Brazil,1,172,24,3,7000000,7000000,0,0.006410256410256411,0.06433181291290067,0.009334415584415584,0.9166666666666666,0.0,0.1469641930390465,0.0,,2835,40.78,33.33,0.06,7.87,1.21,0.32,0.0,0.06,0.76,25.0,0.1,4.19,2.44,74.95,83.42,52.83,0.6,5.9,4.54,0.79,11.21,0.22,0.0,William de Asevedo Furtado,Bundesliga,Brazil,South America,-0.8788386762234612,0.00312,8.96440754716981e-06,0.0,0.01188,0.00216,William de Asevedo Furtado,
William Troost-Ekong,Udinese,3,Netherlands,1,191,25,4,4000000,4000000,0,0.02197802197802198,0.04241970555409819,0.03571428571428571,0.1428571428571428,0.0,0.03446539019572062,62911.0,,3272,55.56,40.0,0.74,6.19,0.74,0.11,0.0,0.0,0.17,0.0,0.0,0.06,0.19,84.96,89.51,55.1,0.06,3.58,0.39,0.19,6.02,0.0,0.0,William Troost-Ekong,Serie A,Netherlands,Europe,-0.7064976030195587,0.021362962962962966,0.0011574491684136967,0.0,0.1792,0.0112,William Troost-Ekong,
Willian,Chelsea,1,Brazil,1,175,30,1,40000000,40000000,0,0.02797202797202797,0.0436355152505942,0.03125,0.246031746031746,0.005384615384615385,0.04472573179392188,3407135.0,9065978.0,2220,32.14,0.0,0.04,2.11,0.45,0.08,0.0,0.12,2.47,37.7,0.2,2.64,7.34,83.72,87.15,64.29,0.69,4.14,4.5,1.18,7.46,1.58,4.5,Willian,Premier,Brazil,South America,1.867184084931899,0.3096296296296297,0.1133998602375961,0.12,1.72,0.2,Willian,
Willian José,Real Sociedad,1,Brazil,1,189,27,5,30000000,30000000,0,0.003496503496503497,0.005759340109145881,0.005168269230769231,0.03125,0.0004432624113475177,0.004850656038664984,108753.0,94765.0,2483,40.0,0.0,0.14,1.01,1.23,0.18,0.04,0.4,1.81,52.0,0.14,0.69,1.59,78.21,80.89,66.22,0.47,3.12,1.78,1.3,3.04,0.04,0.0,Willian Jose,LaLiga,Brazil,South America,-0.7082910436849379,0.03222222222222223,0.00024779874213836473,0.02,0.12,0.04,Willian Jose,
Willy Boly,Wolverhampton Wanderers,3,France,1,195,28,2,12000000,12000000,0,0.02197802197802198,0.1073282420038842,0.0615530303030303,0.6,0.0006451612903225806,0.1156688024519885,0.0,0.0,3405,59.47,47.06,0.48,5.87,0.74,0.05,0.03,0.11,0.53,35.0,0.0,0.0,0.77,85.53,90.65,52.23,0.05,6.85,0.32,0.58,10.52,0.03,0.0,Willy Boly,Premier,France,Europe,-0.7555004187241143,0.02675555555555556,0.0003143889308176099,0.0112,0.1008,0.0224,Willy Boly,
Wout Weghorst,Wolfsburg,1,Netherlands,1,197,26,4,20000000,20000000,0,0.002860775588048316,0.01475818679313987,0.006944444444444444,0.1035714285714286,0.0004166666666666667,0.02007092972825259,0.0,,3069,44.21,10.0,0.09,2.17,1.03,0.12,0.0,0.5,1.85,58.73,0.15,0.59,1.58,74.07,75.95,60.71,0.35,2.08,1.29,0.62,2.11,0.0,0.0,Wout Weghorst,Bundesliga,Netherlands,Europe,-0.7731009992876173,0.02026666666666667,0.00027696301886792455,0.0032,0.07680000000000001,0.014400000000000001,Wout Weghorst,
Wu Lei,Espanyol,1,China PR,1,174,27,1,10000000,10000000,0,0.003496503496503497,0.00886624311950942,0.004718660968660969,0.07692307692307693,0.0,0.01321390597207215,0.0,,1124,39.02,0.0,0.0,2.48,0.72,0.08,0.0,0.24,2.56,25.0,0.08,1.28,2.16,74.38,79.23,50.0,0.16,1.36,1.44,0.56,2.48,0.0,0.0,Wu Lei,LaLiga,China PR,Asia,-0.6809844617694393,0.04444444444444445,0.0020025157232704404,0.0,0.24,0.02,Wu Lei,
Wylan Cyprien,Nice,2,Guadeloupe,1,180,24,2,14000000,14000000,0,0.003968253968253968,0.01107708873060853,0.01092928810320115,0.04166666666666666,0.0,0.008534280744055265,27969.0,50275.0,2519,52.38,25.0,0.18,2.68,0.79,0.07,0.04,0.14,1.89,41.51,0.04,0.61,1.5,88.55,91.8,55.97,0.14,9.08,1.75,1.14,8.79,1.97,3.82,Wylan Cyprien,Ligue 1,Guadeloupe,North America,-0.8590160017743805,0.007166666666666665,2.217452830188679e-05,0.0,0.0225,0.006749999999999999,Wylan Cyprien,
Xabier Etxeita,Getafe,3,Spain,1,185,31,2,2000000,2000000,0,0.006410256410256411,0.08075007805594644,0.02462121212121212,0.6428571428571429,0.0,0.1386691927908705,0.0,0.0,2844,50.94,53.33,0.41,4.97,1.11,0.32,0.0,0.13,0.66,38.1,0.0,0.32,0.16,80.32,87.67,56.15,0.0,4.49,0.51,0.22,7.41,0.03,0.0,Xabier Etxeita,LaLiga,Spain,Europe,-0.8804972861474013,0.00378,1.2929433962264152e-05,0.0,0.01404,0.00216,Xabier Etxeita,
