PC1,Mean,Variance,Min,Max,Median,rolling_mean_3w,rolling_std_3w,rolling_mean_5w,rolling_std_5w
206.9305054194887,22.296296296296298,319.7596086652689,11.0,100.0,16.0,22.47530864197531,5.634322722025481,22.714506172839506,7.173310560210789
101.86864421612695,12.944444444444445,69.14779874213839,8.0,53.0,10.0,13.000000000000002,2.9487411856089447,13.057098765432102,3.750746211765985
80.9820717005822,8.481481481481481,66.36757512229211,4.0,52.0,6.0,8.484567901234568,2.6554701486178254,8.525617283950616,3.296549321425354
29.739986989479664,4.425925925925926,20.24912648497555,2.0,29.0,3.0,4.725308641975309,1.5447555683165846,4.982407407407407,1.8729824518787737
41.09033527784441,4.111111111111111,30.81761006289309,1.0,32.0,3.0,4.080246913580247,1.5610685155550112,4.0546296296296305,2.034091317892292
17.25040738061754,2.1296296296296298,4.3413696715583505,1.0,13.0,1.0,2.0617283950617282,0.7488497904341153,2.0148148148148146,0.9491375599883194
20.52756394064779,2.259259259259259,9.365478686233402,1.0,19.0,1.0,2.2870370370370368,1.0525323441223016,2.2737654320987652,1.2015721175413996
10.491947945598854,1.462962962962963,0.6306778476589797,1.0,4.0,1.0,1.4629629629629628,0.32002418795080345,1.456481481481482,0.42464907681088304
8.976562892778322,1.4259259259259258,1.683088749126485,1.0,9.0,1.0,1.5216049382716048,0.26968790501298595,1.609567901234568,0.402462085692182
16.210251792044314,1.4907407407407407,4.646139063591894,0.5,12.0,1.0,1.4706790123456785,0.6513176034048049,1.4603395061728397,0.8556608217663099
13.670429384054039,1.212962962962963,3.7792627533193563,0.5,11.0,0.5,1.2067901234567902,0.6032194427012056,1.2060185185185186,0.7724847765657371
5.978352360475791,1.1944444444444444,0.4567610062893084,0.5,4.0,1.0,1.212962962962963,0.23420812806748964,1.2271604938271607,0.3167571600603149
9.822672583955157,1.3148148148148149,0.8990216631726062,1.0,6.0,1.0,1.3148148148148149,0.3075024942584657,1.3129629629629633,0.4096788290272056
4.883693846832195,0.9166666666666666,0.214622641509434,0.5,3.0,1.0,0.9475308641975309,0.3006060349205969,0.9641975308641975,0.357828543936106
5.207256733021947,0.9351851851851852,0.11364430468204058,0.5,2.0,1.0,0.9444444444444444,0.15795431892923723,0.9518518518518521,0.20038079100568265
4.586591290571185,0.9166666666666666,0.2995283018867924,0.5,3.0,1.0,0.9166666666666666,0.24535576670830897,0.9171296296296297,0.3194780812780426
7.582215286782601,1.1666666666666667,0.5094339622641512,0.5,5.0,1.0,1.169753086419753,0.19037359819246935,1.1799382716049382,0.2590217894565096
7.060654804993348,1.1111111111111112,0.32704402515723263,0.5,3.0,1.0,1.1543209876543212,0.22837037190223508,1.1867283950617282,0.2909975695066425
5.8511336664992335,1.1018518518518519,1.3526380153738646,0.5,7.0,1.0,1.104938271604938,0.5389491394974326,1.1129629629629632,0.6823560186253986
12.794805878923789,1.1111111111111112,4.836477987421387,0.5,15.0,0.5,1.1126543209876543,0.5992041289456531,1.1160493827160494,0.7846502860622411
4.4330797564359905,0.7314814814814815,0.14823549965059402,0.5,2.0,0.5,0.7330246913580247,0.2315732729746884,0.7327160493827158,0.274959672749097
3.8424037179441726,0.7685185185185185,0.31804682040531096,0.5,4.0,0.5,0.7592592592592593,0.32019080711184317,0.7641975308641975,0.38548319414785814
4.550785913971968,0.8888888888888888,0.04402515723270441,0.5,1.0,1.0,0.8904320987654322,0.1156048317450855,0.8899691358024691,0.1407513675797472
6.001030063479128,0.8611111111111112,0.6171383647798744,0.5,5.0,0.5,0.8641975308641977,0.3724427223647084,0.8666666666666665,0.46265936783892886
4.532248988888491,0.8240740740740741,0.23733403214535295,0.5,3.0,0.5,0.8179012345679013,0.23448769394763797,0.8111111111111112,0.30626339707922046
4.7620889835847855,0.8611111111111112,0.16430817610062892,0.5,2.0,1.0,0.8580246913580247,0.22490245428424938,0.8513888888888889,0.2766755131403348
7.149713972216636,0.8796296296296297,1.2069357092941997,0.5,7.0,0.5,0.875,0.29845669747122683,0.8788580246913581,0.3986827286133001
3.4617625608069993,0.8240740740740741,0.4260132774283716,0.5,3.0,0.5,0.8240740740740741,0.23092352301713387,0.8240740740740742,0.28303942293611295
7.52842032447257,0.8981481481481481,1.2771663172606564,0.5,8.0,0.5,0.898148148148148,0.39616782891568153,0.8984567901234569,0.5007630201877872
3.482900264265707,0.7222222222222222,0.28930817610062887,0.5,4.0,0.5,0.7067901234567903,0.2481377301471283,0.6925925925925925,0.2891875006778496
-0.748620470971475,0.027407407407407408,0.0004573025856044724,0.02,0.16,0.02,0.027407407407407408,0.010066197769384234,0.027407407407407408,0.01149164117166445
-0.7491686087506217,0.02666666666666667,9.056603773584903e-05,0.02,0.04,0.02,0.026604938271604935,0.008327949713661395,0.02669135802469136,0.008983295811397965
-0.6665855089394432,0.042222222222222223,0.0009610062893081758,0.02,0.24,0.04,0.0421604938271605,0.017015330034590714,0.041975308641975316,0.019381030675292656
-0.7177989926605518,0.031111111111111114,0.0005081761006289309,0.02,0.16,0.02,0.031111111111111114,0.012108550414368717,0.030962962962962963,0.013675641349304357
-0.6399987608967096,0.04111111111111111,0.000640251572327044,0.02,0.12,0.04,0.04111111111111111,0.01407978264919889,0.04066666666666667,0.016923455104274444
-0.5550942239567567,0.05814814814814816,0.0012116002795248078,0.02,0.2,0.04,0.06061728395061729,0.016391864997482547,0.06146913580246914,0.02141277051652061
-0.7041401320454941,0.04074074074074075,0.0008598183088749128,0.0,0.16,0.04,0.039629629629629626,0.01947616785528276,0.038351851851851866,0.020080877255949255
